timestamp,wind_power,pv_power,load,temperature,irradiance,wind_speed
2026-04-10 07:25:37,21.944698,4.001128,37.864185,22.030351,129.111753,11.512456
2026-04-10 08:25:37,34.881469,13.337745,41.981757,24.473268,294.203193,12.512352
2026-04-10 09:25:37,25.634052,27.398942,39.854984,25.500209,618.791616,11.440303
2026-04-10 10:25:37,39.257171,28.87918,37.645068,28.144437,825.655612,12.149034
2026-04-10 11:25:37,22.419659,29.170124,31.947132,30.333858,964.787739,12.231828
2026-04-10 12:25:37,19.848021,28.711883,29.024693,30.192305,837.020983,13.119019
2026-04-10 13:25:37,32.781442,20.599193,32.455146,30.257775,671.686654,12.5948
2026-04-10 14:25:37,20.367947,16.210818,34.658151,29.183885,326.009048,11.801516
2026-04-10 15:25:37,19.568828,6.473116,40.818893,26.411991,145.179125,12.141782
2026-04-10 16:25:37,25.795857,1.734376,33.158945,23.921166,47.727855,11.77918
2026-04-10 17:25:37,18.902561,0.479093,39.295414,21.028575,11.009206,11.812054
2026-04-10 18:25:37,18.26572,0.0,44.394495,17.203679,0.0,11.990515
2026-04-10 19:25:37,31.932888,0.0,43.229664,12.45977,0.0,12.354102
2026-04-10 20:25:37,37.028212,0.0,40.249102,12.931842,0.0,11.797793
2026-04-10 21:25:37,15.518042,0.0,31.180249,12.007167,0.0,10.944559
2026-04-10 22:25:37,18.967431,0.0,34.047194,12.802274,0.0,12.293947
2026-04-10 23:25:37,38.116558,0.0,24.814051,13.734188,0.0,12.538617
2026-04-11 00:25:37,23.236167,0.0,20.928304,12.926192,0.0,12.966629
2026-04-11 01:25:37,30.316262,0.0,25.876548,12.515691,0.0,11.976525
2026-04-11 02:25:37,16.015698,0.0,21.275491,12.053977,0.0,11.327621
2026-04-11 03:25:37,44.061523,0.0,26.689364,13.582951,0.0,12.444554
2026-04-11 04:25:37,11.429762,0.0,27.805469,13.313947,0.0,10.812069
2026-04-11 05:25:37,35.822993,0.0,20.998832,12.735222,0.0,11.824081
2026-04-11 06:25:37,29.137082,2.332364,25.301355,18.60972,47.928314,12.306936
